"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","b_rbi","b_total_bases","r_total_caught_stealing","r_total_stolen_base","b_gnd_into_dp","b_hit_by_pitch","b_intent_walk","b_sac_bunt","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Springer, George",543807,2023,33,613,683,158,111,25,1,21,125,60,18.3,8.8,".258",".405",".327","0.732","0.147","72","248","5","20","20","5","1","0","3",".258",".421",".320",".330",".330",".163","88.3","12",32.2,38,7.7,6.5,25.7,39.9,"100.34851102","94.297792755",22.3,49.3
"Fermin, Freddy",666023,2023,28,217,235,61,41,10,1,9,50,13,21.3,5.5,".281",".461",".321","0.782","0.180","32","100","0","0","11","1","0","1","3",".270",".456",".333",".331",".313",".186","89.9","11.7",35.1,17,9.9,3.5,26.9,42.7,"99.612583571","94.265238631",24.3,54.6
"Ahmed, Nick",605113,2023,33,198,210,42,29,10,1,2,52,12,24.8,5.7,".212",".303",".257","0.560","0.091","17","60","1","5","0","0","0","0","0",".225",".328",".247",".264",".269",".104","85.2","12.8",32.9,4,2.7,6.8,26.7,31.5,"97.507589437","92.754850282",26.9,50.4
"Nootbaar, Lars",663457,2023,25,426,503,111,73,23,1,14,99,72,19.7,14.3,".261",".418",".367","0.785","0.157","46","178","1","11","7","1","2","1","3",".262",".442",".344",".357",".369",".180","89.1","7.2",30.8,29,8.8,5.4,26,37.8,"100.334219085","94.369985457",18.5,35.5
"Ruiz, Keibert",660688,2023,24,523,562,136,94,24,0,18,58,31,10.3,5.5,".260",".409",".308","0.717","0.149","67","214","1","1","13","6","1","0","2",".271",".427",".310",".322",".318",".156","87.4","15.3",39.4,27,5.8,4.9,26.3,31.9,"97.263733176","92.681495075",14.3,51.1
"Newman, Kevin",621028,2023,29,225,253,57,38,16,0,3,34,17,13.4,6.7,".253",".364",".311","0.675","0.111","28","82","1","8","7","4","0","2","5",".270",".381",".296",".313",".329",".111","86.5","12",35.4,5,2.5,5.1,29.8,29.3,"96.650571327","92.359183077",14.8,46.6
"Devers, Rafael",646240,2023,26,580,656,157,90,34,0,33,126,62,19.2,9.5,".271",".500",".351","0.851","0.229","100","290","1","5","15","11","10","0","3",".276",".543",".359",".379",".357",".268","93.1","12.4",30,58,12.7,8.5,19.9,55.1,"104.483705833","97.182864659",26.1,52.6
"Cave, Jake",595909,2023,30,184,203,39,25,8,1,5,55,15,27.1,7.4,".212",".348",".272","0.620","0.136","21","64","0","3","3","1","0","1","2",".200",".359",".271",".277",".266",".160","89.3","15.3",29.5,10,7.6,5.3,19.7,34.8,"98.602982576","93.425616336",27,48.8
"Chisholm Jr., Jazz",665862,2023,25,352,383,88,55,12,2,19,118,26,30.8,6.8,".250",".457",".304","0.761","0.207","51","161","3","22","4","2","0","1","2",".220",".433",".325",".307",".277",".213","90.3","10.7",25.3,29,12.2,6.3,19.4,41.8,"101.207728421","95.01360943",36.2,44.9
"Andrus, Elvis",462101,2023,34,374,406,94,67,20,1,6,71,25,17.5,6.2,".251",".358",".304","0.662","0.107","44","134","4","12","11","4","1","1","2",".229",".316",".290",".270",".284",".087","87.5","5.5",28.1,8,2.6,4.9,23.2,31,"97.859729735","92.978938439",20.1,45
"Kiner-Falefa, Isiah",643396,2023,28,326,361,79,60,12,1,6,70,28,19.4,7.8,".242",".340",".306","0.646","0.098","37","111","5","14","12","3","0","1","3",".253",".352",".286",".296",".315",".099","88.8","7.2",33.5,8,3.1,5,27.7,39.2,"99.088839688","93.71146918",19.6,44.9
"Straw, Myles",664702,2023,28,462,518,110,88,18,3,1,97,42,18.7,8.1,".238",".297",".301","0.598","0.059","29","137","6","20","10","2","0","6","6",".239",".302",".268",".273",".303",".063","86.3","9.4",34,2,0.5,2.4,27.1,23.3,"95.141368287","91.593212265",14.1,44
"Bryant, Kris",592178,2023,31,300,335,70,50,10,0,10,68,29,20.3,8.7,".233",".367",".313","0.680","0.134","31","110","0","0","6","6","0","0","0",".243",".417",".302",".324",".322",".174","85.7","14.4",34.1,14,6,7.3,20.7,31.5,"97.280290431","92.645822586",25,45.9
"Arraez, Luis",650333,2023,26,574,617,203,160,30,3,10,34,35,5.5,5.7,".354",".469",".393","0.862","0.115","69","269","2","3","18","4","10","1","3",".327",".461",".369",".355",".368",".134","88.3","11.5",44.7,19,3.5,3.7,33.8,25.7,"95.658900664","92.009454214",7.9,51
"Biggio, Cavan",624415,2023,28,289,338,68,47,12,0,9,88,40,26,11.8,".235",".370",".340","0.710","0.135","40","107","2","5","0","7","0","0","2",".224",".376",".318",".315",".331",".152","88.4","15.7",41.4,15,7.4,7.4,27.1,33,"97.7434156","93.0212046",23.8,39.7
"Raley, Luke",670042,2023,28,357,406,89,44,23,3,19,128,28,31.5,6.9,".249",".490",".333","0.823","0.241","49","175","3","14","2","18","0","1","2",".222",".442",".353",".328",".310",".221","91.1","17.3",29.3,30,12.9,5.2,20.7,45.7,"102.675194071","95.677039912",38.9,51.8
"Call, Alex",669743,2023,28,375,439,75,52,14,1,8,78,53,17.8,12.1,".200",".307",".307","0.614","0.107","38","115","8","9","1","6","0","3","2",".208",".335",".280",".294",".315",".127","86.8","17",30.5,16,5.3,5,19.2,30.1,"97.369230205","92.725954777",18.6,40.3
"Frazier, Adam",624428,2023,31,412,455,99,63,21,2,13,68,32,14.9,7,".240",".396",".300","0.696","0.156","60","163","4","11","4","4","0","4","2",".259",".363",".302",".301",".317",".104","85.7","15.2",40.9,11,3.1,3.1,28.6,23.4,"95.278497399","91.650357101",19.2,48.3
"Frelick, Sal",686217,2023,23,191,223,47,34,9,1,3,37,28,16.6,12.6,".246",".351",".341","0.692","0.105","24","67","0","7","2","1","0","0","3",".234",".309",".309",".298",".335",".074","83.3","8.1",29.3,4,2.5,2.5,24.2,23.6,"94.342516154","91.339554231",14.6,43.1
"Maton, Nick",665155,2023,26,249,293,43,26,9,0,8,73,38,24.9,13,".173",".305",".288","0.593","0.132","32","76","2","1","4","3","1","1","2",".190",".334",".268",".286",".303",".145","86.1","18.2",31.8,15,8.4,2.8,17.3,31.5,"97.063386705","92.575397771",31.2,45.1
"Bailey, Patrick",672275,2023,24,326,353,76,50,18,1,7,100,21,28.3,5.9,".233",".359",".285","0.644","0.126","48","117","0","1","8","3","0","2","1",".244",".421",".282",".312",".297",".178","88.7","10.2",36.2,23,10,4.4,27.9,38.4,"99.385269825","93.890632907",26.2,46.5
"Lowe, Nathaniel",663993,2023,27,623,724,163,105,38,3,17,165,93,22.8,12.8,".262",".414",".360","0.774","0.152","82","258","0","1","22","5","2","0","3",".259",".408",".340",".339",".358",".149","89.8","7.2",36.7,30,6.5,6.3,29.7,41.6,"101.145951991","94.820277484",20.6,43.8
"O'Hearn, Ryan",656811,2023,29,346,368,100,63,22,1,14,82,15,22.3,4.1,".289",".480",".322","0.802","0.191","60","166","1","5","2","3","2","1","3",".258",".469",".339",".324",".294",".212","91.9","12",35.1,27,10.1,7.8,23.9,51.5,"101.483905448","95.348954007",23.3,50.7
